episode,top1,reward,total_macs,normalized_macs,normalized_nnz,ckpt_name,action_history,agent_action_history,performance
0,81.72,0.8172,24113792.0,59.08333934446281,55.50764869174887,BEST_adc_episode_000_0.7,"[0.625, 0.1875, 0.4375, 0.21875, 0.53125, 0.28125, 0.3125, 0.671875, 0.40625]","[0.6347166248307261, 0.19405272569925802, 0.4900809059755795, 0.23650971571717172, 0.5390262807080523, 0.2840480525205582, 0.31539801786401256, 0.6750677863476132, 0.4158485640497598]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.375, ""module.layer1.0.conv2"": 0.375, ""module.layer1.1.conv1"": 0.8125, ""module.layer1.1.conv2"": 0.8125, ""module.layer1.2.conv1"": 0.5625, ""module.layer1.2.conv2"": 0.5625, ""module.layer2.0.conv1"": 0.78125, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.78125, ""module.layer2.1.conv1"": 0.46875, ""module.layer2.1.conv2"": 0.46875, ""module.layer2.2.conv1"": 0.71875, ""module.layer2.2.conv2"": 0.71875, ""module.layer3.0.conv1"": 0.6875, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.6875, ""module.layer3.1.conv1"": 0.328125, ""module.layer3.1.conv2"": 0.328125, ""module.layer3.2.conv1"": 0.59375, ""module.layer3.2.conv2"": 0.59375, ""module.fc"": 1.0}"
1,41.58,0.4158,17588864.0,43.09603484991516,34.61697477998937,adc_episode_001_0.7,"[0.9375, 0.0625, 0.25, 0.5625, 0.4375, 0.9375, 0.4375, 0.859375, 0.6875]","[0.965425891634397, 0.10186926520877793, 0.3110362322627306, 0.5903977031082936, 0.4408921493518887, 0.9533015948615728, 0.4416157378105283, 0.8677136205837479, 0.698480700720385]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.0625, ""module.layer1.0.conv2"": 0.0625, ""module.layer1.1.conv1"": 0.9375, ""module.layer1.1.conv2"": 0.9375, ""module.layer1.2.conv1"": 0.75, ""module.layer1.2.conv2"": 0.75, ""module.layer2.0.conv1"": 0.4375, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.4375, ""module.layer2.1.conv1"": 0.5625, ""module.layer2.1.conv2"": 0.5625, ""module.layer2.2.conv1"": 0.0625, ""module.layer2.2.conv2"": 0.0625, ""module.layer3.0.conv1"": 0.5625, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.5625, ""module.layer3.1.conv1"": 0.140625, ""module.layer3.1.conv2"": 0.140625, ""module.layer3.2.conv1"": 0.3125, ""module.layer3.2.conv2"": 0.3125, ""module.fc"": 1.0}"
2,75.46,0.7545999999999999,24906368.0,61.02530005990221,54.178725414919384,adc_episode_002_0.7,"[0.5, 0.8125, 0.25, 0.0625, 0.21875, 0.03125, 0.203125, 0.8125, 0.546875]","[0.5272257379049728, 0.8243588880594843, 0.2928068246994212, 0.06906525609646275, 0.2462140095980092, 0.04216793540060504, 0.2037602124730007, 0.8240503237731157, 0.5495997128447152]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.5, ""module.layer1.0.conv2"": 0.5, ""module.layer1.1.conv1"": 0.1875, ""module.layer1.1.conv2"": 0.1875, ""module.layer1.2.conv1"": 0.75, ""module.layer1.2.conv2"": 0.75, ""module.layer2.0.conv1"": 0.9375, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.9375, ""module.layer2.1.conv1"": 0.78125, ""module.layer2.1.conv2"": 0.78125, ""module.layer2.2.conv1"": 0.96875, ""module.layer2.2.conv2"": 0.96875, ""module.layer3.0.conv1"": 0.796875, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.796875, ""module.layer3.1.conv1"": 0.1875, ""module.layer3.1.conv2"": 0.1875, ""module.layer3.2.conv1"": 0.453125, ""module.layer3.2.conv2"": 0.453125, ""module.fc"": 1.0}"
3,22.4,0.22399999999999998,16077440.0,39.39276092744933,34.0322485381844,adc_episode_003_0.7,"[0.9375, 0.0625, 0.6875, 0.15625, 0.59375, 0.9375, 0.1875, 0.984375, 0.78125]","[0.9383888073208216, 0.06570711674446683, 0.7042199249323057, 0.17690272095698045, 0.6012292409593393, 0.9468735309338328, 0.20039782861958944, 0.9988629266233903, 0.7957419412207494]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.0625, ""module.layer1.0.conv2"": 0.0625, ""module.layer1.1.conv1"": 0.9375, ""module.layer1.1.conv2"": 0.9375, ""module.layer1.2.conv1"": 0.3125, ""module.layer1.2.conv2"": 0.3125, ""module.layer2.0.conv1"": 0.84375, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.84375, ""module.layer2.1.conv1"": 0.40625, ""module.layer2.1.conv2"": 0.40625, ""module.layer2.2.conv1"": 0.0625, ""module.layer2.2.conv2"": 0.0625, ""module.layer3.0.conv1"": 0.8125, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.8125, ""module.layer3.1.conv1"": 0.015625, ""module.layer3.1.conv2"": 0.015625, ""module.layer3.2.conv1"": 0.21875, ""module.layer3.2.conv2"": 0.21875, ""module.fc"": 1.0}"
4,43.400000000000006,0.43400000000000005,20298368.0,49.73483078409173,33.022266847793986,adc_episode_004_0.7,"[0.0625, 0.5625, 0.4375, 0.5, 0.59375, 0.21875, 0.484375, 0.859375, 0.875]","[0.11858976858498937, 0.566494020344421, 0.4917892007308322, 0.521783534540702, 0.5991745682963157, 0.24616665969205842, 0.49834981825148605, 0.8616516882348791, 0.884207746422138]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.9375, ""module.layer1.0.conv2"": 0.9375, ""module.layer1.1.conv1"": 0.4375, ""module.layer1.1.conv2"": 0.4375, ""module.layer1.2.conv1"": 0.5625, ""module.layer1.2.conv2"": 0.5625, ""module.layer2.0.conv1"": 0.5, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.5, ""module.layer2.1.conv1"": 0.40625, ""module.layer2.1.conv2"": 0.40625, ""module.layer2.2.conv1"": 0.78125, ""module.layer2.2.conv2"": 0.78125, ""module.layer3.0.conv1"": 0.515625, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.515625, ""module.layer3.1.conv1"": 0.140625, ""module.layer3.1.conv2"": 0.140625, ""module.layer3.2.conv1"": 0.125, ""module.layer3.2.conv2"": 0.125, ""module.fc"": 1.0}"
5,14.280000000000005,0.14280000000000004,18565760.0,45.489614336386985,28.610241568720102,adc_episode_005_0.7,"[0.5625, 0.5625, 0, 0.96875, 0.03125, 0.625, 0.484375, 0.90625, 0.9375]","[0.5713676216114683, 0.6204943665841298, 0.0355770596449595, 0.9781546924540125, 0.04774711390705777, 0.6456560020249569, 0.4938634393171014, 0.915205561365731, 0.9525376754770761]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.4375, ""module.layer1.0.conv2"": 0.4375, ""module.layer1.1.conv1"": 0.4375, ""module.layer1.1.conv2"": 0.4375, ""module.layer1.2.conv1"": 1.0, ""module.layer1.2.conv2"": 1.0, ""module.layer2.0.conv1"": 0.03125, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.03125, ""module.layer2.1.conv1"": 0.96875, ""module.layer2.1.conv2"": 0.96875, ""module.layer2.2.conv1"": 0.375, ""module.layer2.2.conv2"": 0.375, ""module.layer3.0.conv1"": 0.515625, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.515625, ""module.layer3.1.conv1"": 0.09375, ""module.layer3.1.conv2"": 0.09375, ""module.layer3.2.conv1"": 0.0625, ""module.layer3.2.conv2"": 0.0625, ""module.fc"": 1.0}"
6,52.94,0.5294,21662336.0,53.07680968973163,73.26206367019077,adc_episode_006_0.7,"[0.9375, 0.8125, 0.5, 0.59375, 0.09375, 0.75, 0.234375, 0.203125, 0.140625]","[0.9779208161850329, 0.8185950924172314, 0.5465455100279535, 0.6189776136902647, 0.09909536014500109, 0.7812125452694604, 0.23839333369307458, 0.21523012116175322, 0.15147686209803102]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.0625, ""module.layer1.0.conv2"": 0.0625, ""module.layer1.1.conv1"": 0.1875, ""module.layer1.1.conv2"": 0.1875, ""module.layer1.2.conv1"": 0.5, ""module.layer1.2.conv2"": 0.5, ""module.layer2.0.conv1"": 0.40625, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.40625, ""module.layer2.1.conv1"": 0.90625, ""module.layer2.1.conv2"": 0.90625, ""module.layer2.2.conv1"": 0.25, ""module.layer2.2.conv2"": 0.25, ""module.layer3.0.conv1"": 0.765625, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.765625, ""module.layer3.1.conv1"": 0.796875, ""module.layer3.1.conv2"": 0.796875, ""module.layer3.2.conv1"": 0.859375, ""module.layer3.2.conv2"": 0.859375, ""module.fc"": 1.0}"
7,25.680000000000003,0.25680000000000003,17109632.0,41.92182604523087,49.39460161833323,adc_episode_007_0.7,"[0.9375, 0.9375, 0.0625, 0.3125, 0.59375, 0.96875, 0.40625, 0.90625, 0.078125]","[0.9503396616364953, 0.9764577798696262, 0.07239653929598733, 0.33999876617335567, 0.5948568771978531, 0.98378583651894, 0.42139417869422735, 0.9128556108702182, 0.08104908805798738]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.0625, ""module.layer1.0.conv2"": 0.0625, ""module.layer1.1.conv1"": 0.0625, ""module.layer1.1.conv2"": 0.0625, ""module.layer1.2.conv1"": 0.9375, ""module.layer1.2.conv2"": 0.9375, ""module.layer2.0.conv1"": 0.6875, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.6875, ""module.layer2.1.conv1"": 0.40625, ""module.layer2.1.conv2"": 0.40625, ""module.layer2.2.conv1"": 0.03125, ""module.layer2.2.conv2"": 0.03125, ""module.layer3.0.conv1"": 0.59375, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.59375, ""module.layer3.1.conv1"": 0.09375, ""module.layer3.1.conv2"": 0.09375, ""module.layer3.2.conv1"": 0.921875, ""module.layer3.2.conv2"": 0.921875, ""module.fc"": 1.0}"
8,73.61999999999999,0.7361999999999999,22104704.0,54.160694740209436,63.85328687023802,adc_episode_008_0.7,"[0.75, 0.8125, 0.625, 0.125, 0.65625, 0.03125, 0.578125, 0.515625, 0.046875]","[0.782534357452743, 0.8691362812167035, 0.6835268947433758, 0.1533333773387373, 0.6851112572027253, 0.0008493359321548599, 0.5818819973696965, 0.5203629082763034, 0.052906689947813335]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.25, ""module.layer1.0.conv2"": 0.25, ""module.layer1.1.conv1"": 0.1875, ""module.layer1.1.conv2"": 0.1875, ""module.layer1.2.conv1"": 0.375, ""module.layer1.2.conv2"": 0.375, ""module.layer2.0.conv1"": 0.875, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.875, ""module.layer2.1.conv1"": 0.34375, ""module.layer2.1.conv2"": 0.34375, ""module.layer2.2.conv1"": 0.96875, ""module.layer2.2.conv2"": 0.96875, ""module.layer3.0.conv1"": 0.421875, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.421875, ""module.layer3.1.conv1"": 0.484375, ""module.layer3.1.conv2"": 0.484375, ""module.layer3.2.conv1"": 0.953125, ""module.layer3.2.conv2"": 0.953125, ""module.fc"": 1.0}"
9,85.11999999999999,0.8512,26823296.0,65.72213527863937,81.34191719331405,BEST_adc_episode_009_0.7,"[0.0625, 0.4375, 0.6875, 0.40625, 0.75, 0.5, 0.046875, 0.140625, 0.046875]","[0.06558682005771643, 0.4733163657733793, 0.7345368578040964, 0.4346977189399265, 0.751266527286671, 0.5193070432486635, 0.004136167285398895, 0.1444949781566358, 0.03267107906604205]","{""module.conv1"": 1.0, ""module.layer1.0.conv1"": 0.9375, ""module.layer1.0.conv2"": 0.9375, ""module.layer1.1.conv1"": 0.5625, ""module.layer1.1.conv2"": 0.5625, ""module.layer1.2.conv1"": 0.3125, ""module.layer1.2.conv2"": 0.3125, ""module.layer2.0.conv1"": 0.59375, ""module.layer2.0.downsample.0"": 1.0, ""module.layer2.0.conv2"": 0.59375, ""module.layer2.1.conv1"": 0.25, ""module.layer2.1.conv2"": 0.25, ""module.layer2.2.conv1"": 0.5, ""module.layer2.2.conv2"": 0.5, ""module.layer3.0.conv1"": 0.953125, ""module.layer3.0.downsample.0"": 1.0, ""module.layer3.0.conv2"": 0.953125, ""module.layer3.1.conv1"": 0.859375, ""module.layer3.1.conv2"": 0.859375, ""module.layer3.2.conv1"": 0.953125, ""module.layer3.2.conv2"": 0.953125, ""module.fc"": 1.0}"
