dir,name,macs,search_top1,top1,top5,loss
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_000_0.7_checkpoint.pth.tar,59.083339344462814,81.72,85.02000000000001,99.14,0.499472726136446
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_009_0.7_checkpoint.pth.tar,65.72213527863937,85.11999999999998,86.18,99.58,0.45170210003852845
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_058_0.7_checkpoint.pth.tar,68.16087664221445,86.96000000000002,86.94,99.38,0.43343525603413574
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_108_0.7_checkpoint.pth.tar,70.01251360344736,87.02,84.33,99.17,0.5344416528940201
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_110_0.7_checkpoint.pth.tar,70.10283735765384,88.92,87.41,99.62,0.38872247189283377
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_112_0.7_checkpoint.pth.tar,68.9737904300728,90.02,86.33,99.26,0.46375257074832915
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_119_0.7_checkpoint.pth.tar,68.83830479876306,90.38,87.83,99.47,0.37879153788089753
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_121_0.7_checkpoint.pth.tar,69.56089483241493,91.6,88.03,99.56,0.3937068358063697
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_124_0.7_checkpoint.pth.tar,70.14799923475708,92.36,85.11999999999999,99.26,0.4984449073672294
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/0___2020.09.15-193710/ft,BEST_adc_episode_129_0.7_checkpoint.pth.tar,68.20603851931767,93.24,87.11,99.61,0.39946470186114313
/home/young/liuyixin/CAMC_disllter/experiments/resnet20-ddpg-private/2020.09.15-193705/1___2020.09.15-193710/ft,BEST_adc_episode_000_0.7_checkpoint.pth.tar,57.32202613743637,27.280000000000005,83.06,99.13,0.5281425714492798
